System,ref,mace_mp_0b3_D3
01_cyclohexanedione,-88.3328,-119.92826335007086
02_acetic_acid,-71.7094,-129.60696333505416
03_adamantane,-61.0164,-55.30888006210333
04_ammonia,-38.1984,-52.43162141071638
05_anthracene,-100.2156,-202.84518412556537
06_benzene,-49.7893,-97.30515457385209
07_co2,-29.3677,-71.63934886750921
08_cyanamide,-83.5987,-157.82643036893742
09_cytosine,-156.22,-195.30051769945925
10_ethylcarbamate,-84.2375,-127.67635396914655
11_formamide,-80.9522,-118.6297403434904
12_imidazole,-88.2031,-113.56001808808576
13_naphthalene,-75.4955,-149.92930470378184
14_oxalic_acid_alpha,-102.6301,-140.22639636830948
15_oxalic_acid_beta,-102.299,-142.8554832242778
16_pyrazine,-61.074,-159.9937805406292
17_pyrazole,-77.3202,-80.24812636143419
18_triazine,-60.4789,-169.18846924052906
19_trioxane,-62.1361,-60.940858240471094
20_uracil,-134.2672,-189.7273589365256
21_urea,-108.5343,-139.78882246916595
22_hexamine,-86.1865,-75.59533770136697
23_succinic_acid,-125.1601,-216.47674126502142
