mp_id,formula,K_vrh_DFT,G_vrh_DFT,K_vrh_mace_matpes_PBE_0_D3,G_vrh_mace_matpes_PBE_0_D3
mp-861884,AcGaTe2,43.131,14.998,35.69514371062022,22.508111578424206
mp-1390618,SnO2,42.723,28.477,130.82508047593672,78.64762776697604
mp-983358,HfAlFe2,172.287,92.953,180.828482776898,126.1631978363444
mp-600124,MnNiSb,101.928,50.092,117.22956896921315,68.31012392643427
mp-1635,TbMg,40.716,20.807,37.45270359457355,19.610801281725735
mp-3384,Er3Al5O12,173.762,105.755,179.80542906460403,102.64839324384367
mp-55,Sn,46.694,5.892,53.90684472233884,-23.703064342535733
mp-4668,K(CoSe)2,50.314,24.198,74.86696278976011,44.486823918137084
mp-554352,Ba2CuF6,57.176,21.226,68.10795398494545,26.426144497607833
mp-862966,PmTlAg2,65.448,18.899,54.192902801685726,-0.9120870760420176
mp-973824,LiHg3,22.639,18.474,37.511061389657606,5.441741779494596
mp-11722,PrGe2,64.615,22.802,71.01916769823224,35.54170108522569
mp-7426,Ba(ZnP)2,55.357,28.964,57.86705995877402,32.592631611613186
mp-675180,ErCuSe2,65.035,28.853,72.20172403432115,35.97994171600286
mp-974421,IrRu,329.122,156.327,375.1374535064152,199.42438263012534
mp-20552,Cr2As,155.123,75.452,188.06803047271072,21.34007808551887
mp-1008483,CdN,101.532,19.068,75.31359788240137,33.33389073792299
mp-1560,LaTe,54.332,21.792,58.40986167226694,28.83090238768206
mp-5526,La(CoSi)2,117.558,76.385,136.6925770120038,82.41223889673043
mp-11801,K3N,2.7199999999999998,1.43,9.159077622046352,4.628094127509707
mp-4494,NaYbS2,36.215,11.768,55.35027428680661,34.3277040960961
mp-13498,Tb2Mg,39.124,15.539,33.40752574674579,14.935126271272884
mp-867125,Al2RuPt,201.068,97.729,226.31647374319476,126.28329682125646
mp-980663,Yb2Mg,21.912,6.47,28.904307267941977,18.948517374653743
mp-644281,Mg7TiH16,63.812,30.422,65.66257676831424,30.7015869852196
mp-977408,NbTlO3,176.002,93.616,178.36131802121562,83.61383711338422
mp-27954,CuN3,15.781,4.885,64.0156716468097,37.901312099976344
mp-915,YCd,56.99,28.662,68.52353024578774,30.738006376008244
mp-570018,Ce3Pb,47.518,28.668,54.522257840194776,26.754175333356
mp-6950,BaSb3,27.116,16.98,46.82583725733728,24.877550907239467
mp-757031,Mg2TiO4,146.153,71.912,142.80783197446493,74.56796608433226
mp-7381,TbMg3,40.267,24.883,35.01848333998036,23.937440414578905
mp-978513,SmErMg2,40.708,21.424,33.39805398067923,21.723710151045783
mp-4252,SnPS3,16.223,11.956,48.41463884627126,24.110967873915687
mp-28174,Pd(SCl3)2,2.346,2.36,38.483272445811835,15.35480758003305
mp-1025165,Zr(VGa2)2,131.585,88.202,152.58124551976843,91.00953694585519
mp-27409,RbNiBr3,12.959,3.423,29.916579703554742,17.170690254900528
mp-23192,HgI2,3.392,2.493,20.326600471150606,8.745518923833373
mp-865652,TiMn2Si,207.779,105.768,223.25221681717824,131.33798440261637
mp-638,SrZn5,52.276,24.166,59.69634096313407,32.36530954829471
mp-31187,TiAlFe2,184.183,85.502,207.0117746769395,137.71145298588215
mp-976847,Ni3Sb,164.639,57.89,166.635465434141,74.46860638017758
mp-1087,SrS,48.468,32.3,52.34286347405515,31.92542578342012
mp-1136,Na3As,22.238,13.902,30.402789561450508,19.749815485829547
mp-2490,GaP,76.335,51.463,74.86533198846173,56.897293810190774
mp-866062,HfSiRu2,228.517,106.888,240.4557479652415,111.34971839948723
mp-636368,Ga3Fe,102.587,66.476,103.24912594616114,62.16803882141197
mp-7132,DySe,44.941,4.976,43.76599719503386,21.079994188699125
mp-7991,BN,97.905,68.078,152.56068855826615,91.2696739929566
mp-631524,BTe2As,65.801,8.576,70.32614298443907,10.040061052491408
mp-3826,Ce(SiPd)2,124.834,56.202,133.14743722599357,70.3158523125981
mp-754434,Hf3N4,212.613,66.114,236.78475966996268,143.5676485909355
mp-865155,MgAlRh2,155.745,85.611,185.4396657838478,111.62118595779043
mp-4428,CaSiO3,76.748,39.815,143.98524430022948,79.94162770447387
mp-10212,ScGe2,80.354,56.949,84.03579626958603,58.44599684361952
mp-15297,Hf6NiSb2,131.265,72.06,126.50632137104549,66.35350100557146
mp-864796,EuCdHg2,37.559,11.896,55.949859262520576,21.243684683373637
mp-20206,ThIn3,65.84,31.631,76.4059005810667,38.03449507518162
mp-1079630,Ba2TaInO6,140.02,78.541,145.29066304702812,77.38229847888154
mp-1029312,RbVN2,39.935,39.756,119.775716570155,47.439984125895954
mp-8456,SrAsPt,72.367,29.338,77.04774794550815,41.41262859210963
mp-567588,DyInRh,98.902,31.23,94.61658407354034,36.21476395276294
mp-4788,K(OsO3)2,129.08,80.552,155.80390109512416,71.90822634833023
mp-8307,CaNi4B,132.728,61.205,174.8345892675982,88.51983044548089
mp-752730,Ba2GeO4,64.347,31.103,102.14487750553342,53.76166539845752
mp-4571,CaZrO3,149.043,85.19,157.9697048291488,83.96228413998341
mp-23204,FeCl3,15.609,9.15,19.785148538899136,31.15227764893399
mp-862629,ScRh2Pb,139.016,187.799,151.13443780980228,60.94253325182209
mp-3706,Ho2Co12P7,201.47,106.337,210.3468010264143,119.2482180563264
mp-3061,TbNiC2,145.7,95.952,187.70156233280122,105.48987026110223
mp-865202,TmCdPt2,123.512,20.588,135.43031040962018,16.39911380608619
mp-1019055,ReN2,384.053,265.328,448.3684335243677,277.23665275008744
mp-778364,Na6Ti2O7,46.367,25.335,89.63137684082726,45.10627058167424
mp-866375,TiFe2Ge,210.464,127.259,239.23330029204243,136.5859191622485
mp-8062,SiC,212.682,187.246,259.13992137257986,192.18582966229147
mp-9587,TaMoN,306.124,172.722,325.6460031227892,186.39915917740302
mp-614603,CsI,8.224,4.02,13.289648840111086,6.221423268790648
mp-30227,Rb2WCl6,11.06,4.8870000000000005,38.75022291997919,21.099822143771647
mp-3951,Ti2CuS4,100.958,37.972,121.42508118859527,64.18070192838033
mp-865845,Yb2CuIr,69.855,33.64,102.46084174507133,38.822666203608655
mp-754483,Na3(CuO2)2,33.577,21.098,76.3690250068093,37.87132666287822
mp-1008285,Cr3Fe,239.14,60.631,242.5452693911944,20.545470949683526
mp-16342,HoGe,80.872,54.586,74.49936920056423,46.75480956180123
mp-752426,Li3SbS4,38.534,25.974,66.76547330495937,39.437308790689976
