mp_id,formula,K_vrh_DFT,G_vrh_DFT,K_vrh_mace_matpes_r2scan_0_D3,G_vrh_mace_matpes_r2scan_0_D3
mp-861884,AcGaTe2,43.131,14.998,52.770168897574585,24.582151083936616
mp-1390618,SnO2,42.723,28.477,167.9509335215014,96.65740462092857
mp-983358,HfAlFe2,172.287,92.953,136.35734752431205,81.37888742117836
mp-600124,MnNiSb,101.928,50.092,113.82762941826925,68.78072993547237
mp-1635,TbMg,40.716,20.807,43.58010307609629,20.52424432135045
mp-3384,Er3Al5O12,173.762,105.755,226.70782618217206,135.39201124510276
mp-55,Sn,46.694,5.892,57.438829404796316,-30.909585153647477
mp-4668,K(CoSe)2,50.314,24.198,45.91513945067364,31.668401734789164
mp-554352,Ba2CuF6,57.176,21.226,97.06552184613138,39.040595856551334
mp-862966,PmTlAg2,65.448,18.899,77.64303427782527,22.182287687703113
mp-973824,LiHg3,22.639,18.474,46.99346190754249,1.7443315781705113
mp-11722,PrGe2,64.615,22.802,74.60371370832283,31.817974809966664
mp-7426,Ba(ZnP)2,55.357,28.964,71.75948486959653,42.38300054260811
mp-675180,ErCuSe2,65.035,28.853,79.9091690483005,42.190350111700845
mp-974421,IrRu,329.122,156.327,432.810695275204,230.40609978773315
mp-20552,Cr2As,155.123,75.452,80.7149104353425,58.858670377881545
mp-1008483,CdN,101.532,19.068,109.02805707994922,17.44346601080781
mp-1560,LaTe,54.332,21.792,64.7562957664892,20.291066111789267
mp-5526,La(CoSi)2,117.558,76.385,147.37924958080936,90.1915322054485
mp-11801,K3N,2.7199999999999998,1.43,9.115471788137201,4.739653300022245
mp-4494,NaYbS2,36.215,11.768,67.05924641720033,40.13215637918813
mp-13498,Tb2Mg,39.124,15.539,38.27826302059323,18.967082287940404
mp-867125,Al2RuPt,201.068,97.729,266.52381749978974,135.8050546857543
mp-980663,Yb2Mg,21.912,6.47,27.471443307164392,17.862735645378063
mp-644281,Mg7TiH16,63.812,30.422,62.59830517412256,56.351023972308475
mp-977408,NbTlO3,176.002,93.616,221.67347575474307,104.35862985710192
mp-27954,CuN3,15.781,4.885,73.97421156628816,40.89997411383214
mp-915,YCd,56.99,28.662,75.03005905656968,31.70532595256163
mp-570018,Ce3Pb,47.518,28.668,36.799455767306256,29.088430480386197
mp-6950,BaSb3,27.116,16.98,50.49534692875163,27.93145001642616
mp-757031,Mg2TiO4,146.153,71.912,204.3293906562542,112.8025234860637
mp-7381,TbMg3,40.267,24.883,44.97515430724559,29.309510402259182
mp-978513,SmErMg2,40.708,21.424,31.189881480151158,15.675948967595716
mp-4252,SnPS3,16.223,11.956,72.36144200317227,43.131145813756525
mp-28174,Pd(SCl3)2,2.346,2.36,42.31447660647531,19.956857439700602
mp-1025165,Zr(VGa2)2,131.585,88.202,169.838196489259,105.4966192861039
mp-27409,RbNiBr3,12.959,3.423,39.91306390119807,21.392662292297143
mp-23192,HgI2,3.392,2.493,30.63832237533202,10.435660671433592
mp-865652,TiMn2Si,207.779,105.768,153.698727708358,91.54388050191048
mp-638,SrZn5,52.276,24.166,76.26287998507418,36.81108331107582
mp-31187,TiAlFe2,184.183,85.502,123.43773912728854,68.17574037150531
mp-976847,Ni3Sb,164.639,57.89,196.1600865392744,75.85774777670217
mp-1087,SrS,48.468,32.3,57.83443673608255,36.890102864765716
mp-1136,Na3As,22.238,13.902,38.24107511069753,23.49508225881631
mp-2490,GaP,76.335,51.463,88.33106361962103,66.9656723482648
mp-866062,HfSiRu2,228.517,106.888,278.2368425957556,129.63993585232276
mp-636368,Ga3Fe,102.587,66.476,126.43183196449712,67.97607304006554
mp-7132,DySe,44.941,4.976,49.03124169217945,32.53865628684446
mp-7991,BN,97.905,68.078,108.0110640439946,67.29476915586451
mp-631524,BTe2As,65.801,8.576,80.55965244651395,12.537936821954945
mp-3826,Ce(SiPd)2,124.834,56.202,151.09205840899415,66.90598395554437
mp-754434,Hf3N4,212.613,66.114,267.85511163255865,152.13086999295248
mp-865155,MgAlRh2,155.745,85.611,202.24509572753124,110.5608738642708
mp-4428,CaSiO3,76.748,39.815,172.3084170594292,105.17292152715001
mp-10212,ScGe2,80.354,56.949,100.36095322958444,71.65909499214999
mp-15297,Hf6NiSb2,131.265,72.06,155.88770663589904,67.15741223574418
mp-864796,EuCdHg2,37.559,11.896,64.95569697644926,25.428109705209742
mp-20206,ThIn3,65.84,31.631,86.8015365106425,40.95611014896021
mp-1079630,Ba2TaInO6,140.02,78.541,175.92821541465574,101.53759367381898
mp-1029312,RbVN2,39.935,39.756,125.73626446732298,51.832181345825326
mp-8456,SrAsPt,72.367,29.338,95.94856542163272,45.890333047672094
mp-567588,DyInRh,98.902,31.23,95.57815585290804,33.8189681458037
mp-4788,K(OsO3)2,129.08,80.552,173.66267494320766,79.07677303662021
mp-8307,CaNi4B,132.728,61.205,182.81065617803804,89.47851894107421
mp-752730,Ba2GeO4,64.347,31.103,126.62909326752299,66.11666626999481
mp-4571,CaZrO3,149.043,85.19,197.98169011809293,108.19650478645156
mp-23204,FeCl3,15.609,9.15,52.07059991398355,24.025711222907002
mp-862629,ScRh2Pb,139.016,187.799,169.69223485129598,54.90915587975573
mp-3706,Ho2Co12P7,201.47,106.337,239.14206245449228,138.60666207731165
mp-3061,TbNiC2,145.7,95.952,198.0129511544741,108.27350282871537
