mp_id,formula,K_vrh_DFT,G_vrh_DFT,K_vrh_mace_mp_0b3_D3,G_vrh_mace_mp_0b3_D3
mp-861884,AcGaTe2,43.131,14.998,56.954107049642694,20.1490321240177
mp-1390618,SnO2,42.723,28.477,148.23975455243965,83.44131674133544
mp-983358,HfAlFe2,172.287,92.953,188.42030931370186,86.47857228244189
mp-600124,MnNiSb,101.928,50.092,113.58286130401989,51.63083088259747
mp-1635,TbMg,40.716,20.807,44.13403068586336,20.70714549761361
mp-3384,Er3Al5O12,173.762,105.755,207.56426948004423,126.89840511364852
mp-55,Sn,46.694,5.892,54.72235731084676,-12.610303907829117
mp-4668,K(CoSe)2,50.314,24.198,81.14303953712741,38.54366039181966
mp-554352,Ba2CuF6,57.176,21.226,87.08899643186375,29.9675334719459
mp-862966,PmTlAg2,65.448,18.899,79.22090581064413,16.840420731828903
mp-973824,LiHg3,22.639,18.474,36.61012415983708,5.351967927490849
mp-11722,PrGe2,64.615,22.802,75.53813252278815,29.76085922844406
mp-7426,Ba(ZnP)2,55.357,28.964,65.35296501779374,26.873914475247012
mp-675180,ErCuSe2,65.035,28.853,87.04363852619132,41.54077983187762
mp-974421,IrRu,329.122,156.327,398.9749032275836,134.80888756926305
mp-20552,Cr2As,155.123,75.452,170.20118298296586,49.22341840157406
mp-1008483,CdN,101.532,19.068,119.36735865016158,6.136484780397994
mp-1560,LaTe,54.332,21.792,67.75795203067857,21.457471414287646
mp-5526,La(CoSi)2,117.558,76.385,153.9188240369838,67.21109155971136
mp-11801,K3N,2.7199999999999998,1.43,5.3308350635529775,3.5947100385519644
mp-4494,NaYbS2,36.215,11.768,47.836529766110395,7.811741684719899
mp-13498,Tb2Mg,39.124,15.539,41.524738503057684,17.342157987607365
mp-867125,Al2RuPt,201.068,97.729,239.9596201105121,79.9845914789036
mp-980663,Yb2Mg,21.912,6.47,23.009475745015898,14.240470309332816
mp-644281,Mg7TiH16,63.812,30.422,61.1134062600332,24.407529459538594
mp-977408,NbTlO3,176.002,93.616,221.05799003375313,93.33255519909225
mp-27954,CuN3,15.781,4.885,81.64101398144297,46.65533997921732
mp-915,YCd,56.99,28.662,60.398231616165724,23.373551346187735
mp-570018,Ce3Pb,47.518,28.668,57.683261042630384,15.214667867393052
mp-6950,BaSb3,27.116,16.98,46.449719750831804,14.558686624380286
mp-757031,Mg2TiO4,146.153,71.912,192.41899640297973,109.72211906644299
mp-7381,TbMg3,40.267,24.883,53.4752775911679,24.543868879591805
mp-978513,SmErMg2,40.708,21.424,42.61620340159528,17.130575335628407
mp-4252,SnPS3,16.223,11.956,68.4080495855771,36.4977072101305
mp-28174,Pd(SCl3)2,2.346,2.36,43.630042716204706,17.548600537588722
mp-1025165,Zr(VGa2)2,131.585,88.202,152.90253010819703,61.52153580456656
mp-27409,RbNiBr3,12.959,3.423,36.42041771305309,15.969676007207573
mp-23192,HgI2,3.392,2.493,27.826349084017725,8.011648558064982
mp-865652,TiMn2Si,207.779,105.768,229.1701631999431,84.30142798753899
mp-638,SrZn5,52.276,24.166,62.469543947434346,29.938840456195695
mp-31187,TiAlFe2,184.183,85.502,225.62557074006833,90.82445178623804
mp-976847,Ni3Sb,164.639,57.89,207.0270379356987,70.62651876331238
mp-1087,SrS,48.468,32.3,56.857627789109834,36.3739343808519
mp-1136,Na3As,22.238,13.902,27.042242916896797,14.828855567957392
mp-2490,GaP,76.335,51.463,84.3652791402628,43.7899041406811
mp-866062,HfSiRu2,228.517,106.888,256.8913160133885,74.43226136520303
mp-636368,Ga3Fe,102.587,66.476,103.81211550764732,42.9771815316615
mp-7132,DySe,44.941,4.976,55.282684230236555,22.894734203205285
mp-7991,BN,97.905,68.078,136.86528151887723,61.00567022643412
mp-631524,BTe2As,65.801,8.576,79.77719111909671,3.1846603854443183
mp-3826,Ce(SiPd)2,124.834,56.202,154.57177756949736,58.22840026951046
mp-754434,Hf3N4,212.613,66.114,242.6011673919278,111.95379208544139
mp-865155,MgAlRh2,155.745,85.611,185.54182904501334,71.6054434565867
mp-4428,CaSiO3,76.748,39.815,159.30334202968862,102.37158414252937
mp-10212,ScGe2,80.354,56.949,99.72894907622697,43.0127923877626
