mp_id,formula,K_vrh_DFT,G_vrh_DFT,K_vrh_mace_omat_0_D3,G_vrh_mace_omat_0_D3
mp-861884,AcGaTe2,43.131,14.998,44.25430701491928,24.9225261674314
mp-1390618,SnO2,42.723,28.477,125.20540486481048,78.70764182838062
mp-983358,HfAlFe2,172.287,92.953,220.37501521147954,141.45338104950946
mp-600124,MnNiSb,101.928,50.092,119.68383896163999,68.79394651756145
mp-1635,TbMg,40.716,20.807,48.05138794860087,29.023437378787968
mp-3384,Er3Al5O12,173.762,105.755,218.32924071997422,141.68043094311892
mp-55,Sn,46.694,5.892,64.07047844746775,-6.806623683631627
mp-4668,K(CoSe)2,50.314,24.198,70.48256151066103,42.776680398951974
mp-554352,Ba2CuF6,57.176,21.226,82.3818936725791,34.99685470940486
mp-862966,PmTlAg2,65.448,18.899,81.63733560578261,28.158943549705214
mp-973824,LiHg3,22.639,18.474,43.72788058723497,4.516818174969682
mp-11722,PrGe2,64.615,22.802,80.42623622750394,36.57139904053591
mp-7426,Ba(ZnP)2,55.357,28.964,75.8960677548186,35.16765786251556
mp-675180,ErCuSe2,65.035,28.853,87.14481828807324,47.531012269946764
mp-974421,IrRu,329.122,156.327,423.94581770580015,244.51673825908418
mp-20552,Cr2As,155.123,75.452,177.74428534334461,26.087127879779423
mp-1008483,CdN,101.532,19.068,137.2631705352702,27.040010184914753
mp-1560,LaTe,54.332,21.792,76.03138310091765,28.460690743812894
mp-5526,La(CoSi)2,117.558,76.385,160.9550145416732,87.08443203877371
mp-11801,K3N,2.7199999999999998,1.43,7.17733524112376,4.570525763855727
mp-4494,NaYbS2,36.215,11.768,74.77535894802128,45.86695632947439
mp-13498,Tb2Mg,39.124,15.539,44.43764340061014,22.357715215320326
mp-867125,Al2RuPt,201.068,97.729,258.41430755272745,133.40252198183336
mp-980663,Yb2Mg,21.912,6.47,44.868931697516544,23.775368198619198
mp-644281,Mg7TiH16,63.812,30.422,81.45762148156453,49.907379505638644
mp-977408,NbTlO3,176.002,93.616,217.2721929062022,106.89434626538952
mp-27954,CuN3,15.781,4.885,65.53380997833864,32.16060641445256
mp-915,YCd,56.99,28.662,69.58861380855599,30.470593764570033
mp-570018,Ce3Pb,47.518,28.668,58.96647139954126,31.848052083127236
mp-6950,BaSb3,27.116,16.98,50.91613079011694,25.957154854481075
mp-757031,Mg2TiO4,146.153,71.912,189.89481750748112,116.44552249337465
mp-7381,TbMg3,40.267,24.883,49.827204402722685,36.960505608301574
mp-978513,SmErMg2,40.708,21.424,45.82096234103022,28.8550544861471
mp-4252,SnPS3,16.223,11.956,69.72242789353228,45.264003682993355
mp-28174,Pd(SCl3)2,2.346,2.36,44.51189102508996,20.777428880043963
mp-1025165,Zr(VGa2)2,131.585,88.202,157.95570001693926,107.98343401460062
mp-27409,RbNiBr3,12.959,3.423,33.75795369579689,14.919848186580197
mp-23192,HgI2,3.392,2.493,28.52381322347105,7.827776873365631
mp-865652,TiMn2Si,207.779,105.768,263.549267937934,126.08352149536627
mp-638,SrZn5,52.276,24.166,65.23711139775682,39.240949439927064
mp-31187,TiAlFe2,184.183,85.502,247.34170898597165,145.91370385132748
mp-976847,Ni3Sb,164.639,57.89,195.58540483691132,78.28726494856285
mp-1087,SrS,48.468,32.3,62.45532623036868,38.26025810051676
mp-1136,Na3As,22.238,13.902,28.525309877129374,18.555664435593048
mp-2490,GaP,76.335,51.463,93.3670191681177,53.09560847877805
mp-866062,HfSiRu2,228.517,106.888,288.6651507495024,155.9130061113645
mp-636368,Ga3Fe,102.587,66.476,120.64082570016011,71.69694465575047
mp-7132,DySe,44.941,4.976,64.09834561374193,30.227706441689953
mp-7991,BN,97.905,68.078,135.92547870151748,85.19808158132055
mp-631524,BTe2As,65.801,8.576,80.12358135343433,12.147358672218106
mp-3826,Ce(SiPd)2,124.834,56.202,153.99117092885754,72.21985128463044
mp-754434,Hf3N4,212.613,66.114,268.4250389322631,160.35537843760295
mp-865155,MgAlRh2,155.745,85.611,193.4790568351201,111.46952330978283
mp-4428,CaSiO3,76.748,39.815,165.42027999651697,104.87632348926233
mp-10212,ScGe2,80.354,56.949,104.50929160676397,71.98655895161896
mp-15297,Hf6NiSb2,131.265,72.06,148.89498583890156,72.10905785485632
mp-864796,EuCdHg2,37.559,11.896,57.319337858820184,24.951943522123358
mp-20206,ThIn3,65.84,31.631,82.56517899709378,43.1536732895505
mp-1079630,Ba2TaInO6,140.02,78.541,171.13513712593067,100.99869992238867
mp-1029312,RbVN2,39.935,39.756,116.30200416963046,50.82051231966035
mp-8456,SrAsPt,72.367,29.338,86.43371691200618,43.74250630628683
mp-567588,DyInRh,98.902,31.23,117.77458862669351,40.2950191150229
mp-4788,K(OsO3)2,129.08,80.552,180.63229004299995,84.77376673750923
mp-8307,CaNi4B,132.728,61.205,162.44544458873207,84.11242189994961
mp-752730,Ba2GeO4,64.347,31.103,111.26242180606121,61.74256524103421
mp-4571,CaZrO3,149.043,85.19,192.71909720671775,111.03464929671411
mp-23204,FeCl3,15.609,9.15,28.394752848924988,33.183792258029165
mp-862629,ScRh2Pb,139.016,187.799,176.98773654480155,56.925541083250295
mp-3706,Ho2Co12P7,201.47,106.337,244.97656177148534,136.24666852159146
mp-3061,TbNiC2,145.7,95.952,208.92244689723,116.63696142080445
mp-865202,TmCdPt2,123.512,20.588,147.07578642352473,21.61079891769942
mp-1019055,ReN2,384.053,265.328,503.0331880012235,283.86181352051676
mp-778364,Na6Ti2O7,46.367,25.335,103.78721165745404,55.02519769886667
mp-866375,TiFe2Ge,210.464,127.259,300.52388190188515,177.48871920985843
mp-8062,SiC,212.682,187.246,250.82960574605698,177.90031202663405
mp-9587,TaMoN,306.124,172.722,362.2276494205359,167.15785120628848
mp-614603,CsI,8.224,4.02,17.133825776835447,5.3399205467590996
mp-30227,Rb2WCl6,11.06,4.8870000000000005,44.77182120015733,19.76380900323687
mp-3951,Ti2CuS4,100.958,37.972,123.84329683309684,74.83557225767565
mp-865845,Yb2CuIr,69.855,33.64,126.80796655533942,51.39597585792477
mp-754483,Na3(CuO2)2,33.577,21.098,92.26169904525246,44.73104307546574
mp-1008285,Cr3Fe,239.14,60.631,306.9612169100805,10.546975706821357
mp-16342,HoGe,80.872,54.586,99.96935673380773,66.34353726388076
mp-752426,Li3SbS4,38.534,25.974,72.54977316060794,44.807534595121
mp-27743,BiF5,13.737,10.508,99.35571475900869,41.902932472280135
mp-21366,Yb(GeRu)2,113.282,47.997,184.52407512024593,94.08891317244549
mp-905,LaF3,102.112,39.391,125.81653369845635,52.627663248831134
mp-9953,HfP,147.126,83.603,182.19641831244724,121.93004539910369
mp-643273,NaH2Pd3,108.766,34.066,149.06132558325126,46.61577435108516
mp-972228,Zr3As2,125.408,62.953,153.74067057989305,94.75387445806464
mp-30819,LiAl2Pt,124.378,59.706,154.59748242086087,76.27788154347849
mp-7092,TiSi,145.819,99.581,187.4814347070894,140.84769485177762
mp-862703,Sc2AgAu,91.964,32.821,110.11554728473973,40.66775974619331
mp-978265,Mg2ZnPd,72.28,25.948,95.01687763087934,36.741525693453
mp-10844,Te2Ir,111.463,53.591,145.47833130528875,92.12498413261983
mp-140,Ga,49.645,8.836,62.996183552237895,12.142211484426948
mp-31496,Li2Sn2Au,47.106,21.387,64.15924304106306,30.226256203505425
mp-13816,Cs2NaErF6,31.129,17.633,60.11331267024734,33.06454380202494
mp-972119,SrCaTl2,28.313,16.901,33.88837617818619,22.412719463744537
mp-4552,ErInCu2,88.491,42.728,108.89991113716867,55.30141367446206
