System,ref,mace_matpes_PBE_0_D3
01_cyclohexanedione,-88.3328,-109.58427173891633
02_acetic_acid,-71.7094,-105.193474358297
03_adamantane,-61.0164,76.78971181236307
04_ammonia,-38.1984,-48.06273608501149
05_anthracene,-100.2156,-47.70007103608546
06_benzene,-49.7893,-33.330987158654
07_co2,-29.3677,-37.67062569329944
08_cyanamide,-83.5987,-133.7278160373449
09_cytosine,-156.22,-188.76816413233928
10_ethylcarbamate,-84.2375,-105.53895200477069
11_formamide,-80.9522,-102.63270232137653
12_imidazole,-88.2031,-123.67653931965503
13_naphthalene,-75.4955,-41.02076208964021
14_oxalic_acid_alpha,-102.6301,-96.20592510824093
15_oxalic_acid_beta,-102.299,-101.49387809385769
16_pyrazine,-61.074,-107.07248926284437
17_pyrazole,-77.3202,-108.30175579629676
18_triazine,-60.4789,-116.35759200902567
19_trioxane,-62.1361,-60.376744021696915
20_uracil,-134.2672,-174.34241013706134
21_urea,-108.5343,-158.7421246718336
22_hexamine,-86.1865,-10.17027818849665
23_succinic_acid,-125.1601,-168.8577381022923
