System,ref,mace_matpes_r2scan_0_D3
01_cyclohexanedione,-88.3328,-95.15438495391427
02_acetic_acid,-71.7094,-86.51062078989675
03_adamantane,-61.0164,-87.79744021211212
04_ammonia,-38.1984,-105.95920521281447
05_anthracene,-100.2156,28.64567589571633
06_benzene,-49.7893,6.11077396065345
07_co2,-29.3677,-21.30897778384706
08_cyanamide,-83.5987,-133.51770474811556
09_cytosine,-156.22,-147.57091516451936
10_ethylcarbamate,-84.2375,-111.80374109404487
11_formamide,-80.9522,-63.23697442178889
12_imidazole,-88.2031,-117.61085248994029
13_naphthalene,-75.4955,16.22733506229195
14_oxalic_acid_alpha,-102.6301,-97.22017645622407
15_oxalic_acid_beta,-102.299,-94.76623674481012
16_pyrazine,-61.074,-60.411766281121814
17_pyrazole,-77.3202,-106.18619165524821
18_triazine,-60.4789,-40.88640294281689
19_trioxane,-62.1361,-112.40157311147736
20_uracil,-134.2672,-124.29758308849635
21_urea,-108.5343,-126.26792825365489
22_hexamine,-86.1865,-53.626727098995296
23_succinic_acid,-125.1601,-136.56643917902224
