System,ref,mace_mp_0a_D3
01_cyclohexanedione,-88.3328,-121.65667708423226
02_acetic_acid,-71.7094,-87.71057288084538
03_adamantane,-61.0164,16.518978084571067
04_ammonia,-38.1984,-42.738916490317955
05_anthracene,-100.2156,-119.36451499055786
06_benzene,-49.7893,-66.51757815040817
07_co2,-29.3677,-34.64902849911761
08_cyanamide,-83.5987,-100.54361416625797
09_cytosine,-156.22,-168.47327999596575
10_ethylcarbamate,-84.2375,-84.37249621701174
11_formamide,-80.9522,-96.77280275152258
12_imidazole,-88.2031,-98.0882163527013
13_naphthalene,-75.4955,-95.10513181913235
14_oxalic_acid_alpha,-102.6301,-91.64969431926357
15_oxalic_acid_beta,-102.299,-90.86721911237798
16_pyrazine,-61.074,-88.51043421299383
17_pyrazole,-77.3202,-72.87109177088173
18_triazine,-60.4789,-94.79338272184438
19_trioxane,-62.1361,-66.43208562887945
20_uracil,-134.2672,-136.18110252025903
21_urea,-108.5343,-109.19264139031173
22_hexamine,-86.1865,-100.17446321662675
23_succinic_acid,-125.1601,-169.24714412750836
