System,ref,mace_omat_0_D3
01_cyclohexanedione,-88.3328,-194.2891097097735
02_acetic_acid,-71.7094,-141.89725825419796
03_adamantane,-61.0164,-172.4097258022789
04_ammonia,-38.1984,-97.353659397146
05_anthracene,-100.2156,-187.473453866607
06_benzene,-49.7893,-148.6695460497184
07_co2,-29.3677,-66.2371332071561
08_cyanamide,-83.5987,-115.2288818656001
09_cytosine,-156.22,-161.02225203724623
10_ethylcarbamate,-84.2375,-146.65137045333984
11_formamide,-80.9522,-104.61581561343245
12_imidazole,-88.2031,-136.1055907654108
13_naphthalene,-75.4955,-162.1069776899104
14_oxalic_acid_alpha,-102.6301,-55.64927493830656
15_oxalic_acid_beta,-102.299,-59.40978438539541
16_pyrazine,-61.074,-122.36394414207639
17_pyrazole,-77.3202,-145.83697703559395
18_triazine,-60.4789,-92.88498031609703
19_trioxane,-62.1361,-66.54103051193799
20_uracil,-134.2672,-157.65230941862833
21_urea,-108.5343,-132.41030291058632
22_hexamine,-86.1865,-109.11539815787555
23_succinic_acid,-125.1601,-196.1413682896455
